Primary Date,trans ID,from team,to team
20000107,63159,KCA,SFN
20000112,63176,MIL,CHA
20000112,63176,MIL,CHA
20000112,63176,CHA,MIL
20000112,63176,CHA,MIL
20000114,63177,MIL,CIN
20000114,63177,CIN,MIL
20000114,63178,NYN,COL
20000114,63178,COL,NYN
20000114,63178,COL,NYN
20000121,63179,NYN,MIL
20000121,63179,MIL,NYN
20000210,63180,SEA,CIN
20000210,63180,CIN,SEA
20000210,63180,CIN,SEA
20000210,63180,CIN,SEA
20000210,63180,CIN,SEA
20000218,63181,OAK,KCA
20000218,63181,KCA,OAK
20000223,63182,PIT,SDN
20000223,63182,SDN,PIT
20000223,63182,SDN,PIT
20000223,63182,SDN,PIT
20000223,63182,PIT,SDN
20000310,63183,PHI,DET
20000310,63183,DET,PHI
20000313,63184,ATL,CIN
20000313,63184,CIN,ATL
20000316,63185,TOR,TEX
20000316,63185,TEX,WAS
20000316,63185,TOR,TEX
20000316,63185,WAS,TOR
20000317,63172,WAS,NYA
20000318,63186,SLN,NYN
20000318,63186,NYN,SLN
20000321,63187,SEA,HOU
20000321,63187,HOU,SEA
20000322,63172,WAS,NYA
20000322,63188,TOR,NYN
20000322,63188,NYN,TOR
20000323,63189,SLN,ANA
20000323,63189,SLN,ANA
20000323,63189,ANA,SLN
20000323,63190,SDN,CHN
20000323,63190,CHN,SDN
20000323,63191,SFN,NYA
20000323,63191,NYA,SFN
20000327,63192,CLE,MIA
20000327,63192,MIA,CLE
20000329,63193,ANA,COL
20000329,63193,ANA,COL
20000329,63193,COL,ANA
20000329,63194,PHI,HOU
20000329,63194,HOU,PHI
20000401,63195,LAN,CIN
20000401,63195,CIN,LAN
20000407,63196,COL,CIN
20000407,63196,CIN,COL
20000414,63197,MIL,CHN
20000414,63197,CHN,MIL
20000420,63198,HOU,ARI
20000420,63198,ARI,HOU
20000425,63199,KCA,WAS
20000425,63199,WAS,KCA
20000512,63200,CHN,TBA
20000512,63200,TBA,CHN
20000512,63200,CHN,TBA
20000515,63177,CIN,MIL
20000527,63201,TBA,HOU
20000527,63201,HOU,TBA
20000531,63202,TBA,CHA
20000531,63202,CHA,TBA
20000602,63203,NYN,ARI
20000602,63203,ARI,NYN
20000609,63204,MIA,TEX
20000609,63204,TEX,MIA
20000609,63205,CHN,TEX
20000609,63205,TEX,CHN
20000609,63206,MIA,ARI
20000609,63206,ARI,MIA
20000612,63207,TOR,MIN
20000612,63207,MIN,TOR
20000613,63171,SLN,MIL
20000613,63171,SLN,MIL
20000613,63208,LAN,BAL
20000613,63208,BAL,LAN
20000613,63208,LAN,BAL
20000620,63209,LAN,NYA
20000620,63209,NYA,LAN
20000620,63209,LAN,NYA
20000628,63210,SDN,PIT
20000629,63211,NYA,CLE
20000629,63211,NYA,CLE
20000629,63211,NYA,CLE
20000629,63211,CLE,NYA
20000630,63212,SDN,BOS
20000630,63212,BOS,SDN
20000630,63212,BOS,SDN
20000712,63213,NYA,CIN
20000712,63213,NYA,CIN
20000712,63213,NYA,CIN
20000712,63213,NYA,CIN
20000712,63213,CIN,NYA
20000712,63213,CIN,NYA
20000712,63214,ATL,PHI
20000712,63214,ATL,PHI
20000712,63214,PHI,ATL
20000715,63215,COL,MIN
20000715,63215,MIN,COL
20000715,63215,MIN,COL
20000715,63215,COL,MIN
20000717,63216,DET,SDN
20000717,63216,SDN,DET
20000719,63217,TOR,TEX
20000719,63217,TOR,TEX
20000719,63217,TEX,TOR
20000721,63218,NYA,CHN
20000721,63218,NYA,CHN
20000721,63218,CHN,NYA
20000725,63219,TOR,MIL
20000725,63219,MIL,TOR
20000726,63220,PHI,ARI
20000726,63220,ARI,PHI
20000726,63220,ARI,PHI
20000726,63220,ARI,PHI
20000726,63220,ARI,PHI
20000726,63221,MIA,CIN
20000726,63221,CIN,MIA
20000726,63222,LAN,CHN
20000726,63222,LAN,CHN
20000726,63222,LAN,CHN
20000726,63222,CHN,LAN
20000726,63223,PHI,TOR
20000727,63224,COL,BOS
20000727,63224,BOS,COL
20000727,63224,BOS,COL
20000727,63224,BOS,COL
20000727,63224,BOS,COL
20000727,63224,COL,BOS
20000727,63224,COL,BOS
20000727,63224,COL,BOS
20000728,63225,ANA,CHN
20000728,63225,ANA,CHN
20000728,63225,CHN,ANA
20000728,63225,CHN,ANA
20000728,63225,CHN,ANA
20000728,63226,CLE,MIL
20000728,63226,CLE,MIL
20000728,63226,CLE,MIL
20000728,63226,MIL,CLE
20000728,63226,MIL,CLE
20000728,63226,MIL,CLE
20000728,63227,CLE,PIT
20000728,63227,CLE,PIT
20000728,63227,PIT,CLE
20000728,63228,TBA,OAK
20000728,63228,TBA,OAK
20000728,63228,OAK,TBA
20000728,63229,CLE,TEX
20000728,63229,TEX,CLE
20000728,63230,BAL,NYN
20000728,63230,NYN,BAL
20000728,63230,NYN,BAL
20000728,63230,NYN,BAL
20000728,63230,NYN,BAL
20000728,63231,TBA,NYN
20000728,63231,TBA,NYN
20000728,63231,NYN,TBA
20000728,63231,NYN,TBA
20000729,63232,CHA,BAL
20000729,63232,CHA,BAL
20000729,63232,CHA,BAL
20000729,63232,CHA,BAL
20000729,63232,BAL,CHA
20000729,63232,BAL,CHA
20000729,63233,BAL,SLN
20000729,63233,BAL,SLN
20000729,63233,SLN,BAL
20000729,63233,SLN,BAL
20000729,63234,ANA,PHI
20000729,63234,PHI,ANA
20000729,63235,PIT,SLN
20000729,63235,SLN,PIT
20000730,63236,SFN,HOU
20000730,63236,HOU,SFN
20000731,63223,TOR,PHI
20000731,63237,BAL,ATL
20000731,63237,BAL,ATL
20000731,63237,ATL,BAL
20000731,63237,ATL,BAL
20000731,63237,ATL,BAL
20000731,63238,BAL,SLN
20000731,63238,BAL,SLN
20000731,63238,SLN,BAL
20000731,63239,KCA,SDN
20000731,63239,SDN,KCA
20000731,63240,OAK,MIN
20000731,63240,MIN,OAK
20000731,63241,SEA,SDN
20000731,63241,SEA,SDN
20000731,63241,SDN,SEA
20000731,63242,TBA,TOR
20000731,63242,TBA,TOR
20000731,63242,TOR,TBA
20000731,63243,MIA,CHN
20000731,63243,MIA,CHN
20000731,63243,CHN,MIA
20000731,63244,WAS,CHN
20000731,63244,CHN,WAS
20000731,63245,COL,LAN
20000731,63245,LAN,COL
20000731,63245,LAN,COL
20000731,63245,LAN,COL
