Primary Date,trans ID,from team,to team,year,from_gm,to_gm
1/7/2000,63159,KCA,SFN,2000,Allard Baird,Brian Sabean
1/12/2000,63176,MIL,CHA,2000,Dean Taylor,Ron Schueler
1/12/2000,63176,MIL,CHA,2000,Dean Taylor,Ron Schueler
1/12/2000,63176,CHA,MIL,2000,Ron Schueler,Dean Taylor
1/12/2000,63176,CHA,MIL,2000,Ron Schueler,Dean Taylor
1/14/2000,63177,MIL,CIN,2000,Dean Taylor,Jim Bowden
1/14/2000,63177,CIN,MIL,2000,Jim Bowden,Dean Taylor
1/14/2000,63178,NYN,COL,2000,Steve Phillips,Dan O'Dowd
1/14/2000,63178,COL,NYN,2000,Dan O'Dowd,Steve Phillips
1/14/2000,63178,COL,NYN,2000,Dan O'Dowd,Steve Phillips
1/21/2000,63179,NYN,MIL,2000,Steve Phillips,Dean Taylor
1/21/2000,63179,MIL,NYN,2000,Dean Taylor,Steve Phillips
2/10/2000,63180,SEA,CIN,2000,Pat Gillick,Jim Bowden
2/10/2000,63180,CIN,SEA,2000,Jim Bowden,Pat Gillick
2/10/2000,63180,CIN,SEA,2000,Jim Bowden,Pat Gillick
2/10/2000,63180,CIN,SEA,2000,Jim Bowden,Pat Gillick
2/10/2000,63180,CIN,SEA,2000,Jim Bowden,Pat Gillick
2/18/2000,63181,OAK,KCA,2000,Billy Beane,Allard Baird
2/18/2000,63181,KCA,OAK,2000,Allard Baird,Billy Beane
2/23/2000,63182,PIT,SDN,2000,Cam Bonifay,Kevin Towers
2/23/2000,63182,SDN,PIT,2000,Kevin Towers,Cam Bonifay
2/23/2000,63182,SDN,PIT,2000,Kevin Towers,Cam Bonifay
2/23/2000,63182,SDN,PIT,2000,Kevin Towers,Cam Bonifay
2/23/2000,63182,PIT,SDN,2000,Cam Bonifay,Kevin Towers
3/10/2000,63183,PHI,DET,2000,Ed Wade,Randy Smith
3/10/2000,63183,DET,PHI,2000,Randy Smith,Ed Wade
3/13/2000,63184,ATL,CIN,2000,John Schuerholz,Jim Bowden
3/13/2000,63184,CIN,ATL,2000,Jim Bowden,John Schuerholz
3/16/2000,63185,TOR,TEX,2000,Gord Ash,Doug Melvin
3/16/2000,63185,TEX,WAS,2000,Doug Melvin,Jim Beattie
3/16/2000,63185,TOR,TEX,2000,Gord Ash,Doug Melvin
3/16/2000,63185,WAS,TOR,2000,Jim Beattie,Gord Ash
3/17/2000,63172,WAS,NYA,2000,Jim Beattie,Brian Cashman
3/18/2000,63186,SLN,NYN,2000,Walt Jocketty,Steve Phillips
3/18/2000,63186,NYN,SLN,2000,Steve Phillips,Walt Jocketty
3/21/2000,63187,SEA,HOU,2000,Pat Gillick,Gerry Hunsicker
3/21/2000,63187,HOU,SEA,2000,Gerry Hunsicker,Pat Gillick
3/22/2000,63172,WAS,NYA,2000,Jim Beattie,Brian Cashman
3/22/2000,63188,TOR,NYN,2000,Gord Ash,Steve Phillips
3/22/2000,63188,NYN,TOR,2000,Steve Phillips,Gord Ash
3/23/2000,63189,SLN,ANA,2000,Walt Jocketty,Bill Stoneman
3/23/2000,63189,SLN,ANA,2000,Walt Jocketty,Bill Stoneman
3/23/2000,63189,ANA,SLN,2000,Bill Stoneman,Walt Jocketty
3/23/2000,63190,SDN,CHN,2000,Kevin Towers,Ed Lynch
3/23/2000,63190,CHN,SDN,2000,Ed Lynch,Kevin Towers
3/23/2000,63191,SFN,NYA,2000,Brian Sabean,Brian Cashman
3/23/2000,63191,NYA,SFN,2000,Brian Cashman,Brian Sabean
3/27/2000,63192,CLE,MIA,2000,John Hart,Dave Dombrowski
3/27/2000,63192,MIA,CLE,2000,Dave Dombrowski,John Hart
3/29/2000,63193,ANA,COL,2000,Bill Stoneman,Dan O'Dowd
3/29/2000,63193,ANA,COL,2000,Bill Stoneman,Dan O'Dowd
3/29/2000,63193,COL,ANA,2000,Dan O'Dowd,Bill Stoneman
3/29/2000,63194,PHI,HOU,2000,Ed Wade,Gerry Hunsicker
3/29/2000,63194,HOU,PHI,2000,Gerry Hunsicker,Ed Wade
4/1/2000,63195,LAN,CIN,2000,Kevin Malone,Jim Bowden
4/1/2000,63195,CIN,LAN,2000,Jim Bowden,Kevin Malone
4/7/2000,63196,COL,CIN,2000,Dan O'Dowd,Jim Bowden
4/7/2000,63196,CIN,COL,2000,Jim Bowden,Dan O'Dowd
4/14/2000,63197,MIL,CHN,2000,Dean Taylor,Ed Lynch
4/14/2000,63197,CHN,MIL,2000,Ed Lynch,Dean Taylor
4/20/2000,63198,HOU,ARI,2000,Gerry Hunsicker,Joe Garagiola Jr
4/20/2000,63198,ARI,HOU,2000,Joe Garagiola Jr,Gerry Hunsicker
4/25/2000,63199,KCA,WAS,2000,Allard Baird,Jim Beattie
4/25/2000,63199,WAS,KCA,2000,Jim Beattie,Allard Baird
5/12/2000,63200,CHN,TBA,2000,Ed Lynch,Chuck LaMar
5/12/2000,63200,TBA,CHN,2000,Chuck LaMar,Ed Lynch
5/12/2000,63200,CHN,TBA,2000,Ed Lynch,Chuck LaMar
5/15/2000,63177,CIN,MIL,2000,Jim Bowden,Dean Taylor
5/27/2000,63201,TBA,HOU,2000,Chuck LaMar,Gerry Hunsicker
5/27/2000,63201,HOU,TBA,2000,Gerry Hunsicker,Chuck LaMar
5/31/2000,63202,TBA,CHA,2000,Chuck LaMar,Ron Schueler
5/31/2000,63202,CHA,TBA,2000,Ron Schueler,Chuck LaMar
6/2/2000,63203,NYN,ARI,2000,Steve Phillips,Joe Garagiola Jr
6/2/2000,63203,ARI,NYN,2000,Joe Garagiola Jr,Steve Phillips
6/9/2000,63204,MIA,TEX,2000,Dave Dombrowski,Doug Melvin
6/9/2000,63204,TEX,MIA,2000,Doug Melvin,Dave Dombrowski
6/9/2000,63205,CHN,TEX,2000,Ed Lynch,Doug Melvin
6/9/2000,63205,TEX,CHN,2000,Doug Melvin,Ed Lynch
6/9/2000,63206,MIA,ARI,2000,Dave Dombrowski,Joe Garagiola Jr
6/9/2000,63206,ARI,MIA,2000,Joe Garagiola Jr,Dave Dombrowski
6/12/2000,63207,TOR,MIN,2000,Gord Ash,Terry Ryan
6/12/2000,63207,MIN,TOR,2000,Terry Ryan,Gord Ash
6/13/2000,63171,SLN,MIL,2000,Walt Jocketty,Dean Taylor
6/13/2000,63171,SLN,MIL,2000,Walt Jocketty,Dean Taylor
6/13/2000,63208,LAN,BAL,2000,Kevin Malone,Syd Thrift
6/13/2000,63208,BAL,LAN,2000,Syd Thrift,Kevin Malone
6/13/2000,63208,LAN,BAL,2000,Kevin Malone,Syd Thrift
6/20/2000,63209,LAN,NYA,2000,Kevin Malone,Brian Cashman
6/20/2000,63209,NYA,LAN,2000,Brian Cashman,Kevin Malone
6/20/2000,63209,LAN,NYA,2000,Kevin Malone,Brian Cashman
6/28/2000,63210,SDN,PIT,2000,Kevin Towers,Cam Bonifay
6/29/2000,63211,NYA,CLE,2000,Brian Cashman,John Hart
6/29/2000,63211,NYA,CLE,2000,Brian Cashman,John Hart
6/29/2000,63211,NYA,CLE,2000,Brian Cashman,John Hart
6/29/2000,63211,CLE,NYA,2000,John Hart,Brian Cashman
6/30/2000,63212,SDN,BOS,2000,Kevin Towers,Dan Duquette
6/30/2000,63212,BOS,SDN,2000,Dan Duquette,Kevin Towers
6/30/2000,63212,BOS,SDN,2000,Dan Duquette,Kevin Towers
7/12/2000,63213,NYA,CIN,2000,Brian Cashman,Jim Bowden
7/12/2000,63213,NYA,CIN,2000,Brian Cashman,Jim Bowden
7/12/2000,63213,NYA,CIN,2000,Brian Cashman,Jim Bowden
7/12/2000,63213,NYA,CIN,2000,Brian Cashman,Jim Bowden
7/12/2000,63213,CIN,NYA,2000,Jim Bowden,Brian Cashman
7/12/2000,63213,CIN,NYA,2000,Jim Bowden,Brian Cashman
7/12/2000,63214,ATL,PHI,2000,John Schuerholz,Ed Wade
7/12/2000,63214,ATL,PHI,2000,John Schuerholz,Ed Wade
7/12/2000,63214,PHI,ATL,2000,Ed Wade,John Schuerholz
7/15/2000,63215,COL,MIN,2000,Dan O'Dowd,Terry Ryan
7/15/2000,63215,MIN,COL,2000,Terry Ryan,Dan O'Dowd
7/15/2000,63215,MIN,COL,2000,Terry Ryan,Dan O'Dowd
7/15/2000,63215,COL,MIN,2000,Dan O'Dowd,Terry Ryan
7/17/2000,63216,DET,SDN,2000,Randy Smith,Kevin Towers
7/17/2000,63216,SDN,DET,2000,Kevin Towers,Randy Smith
7/19/2000,63217,TOR,TEX,2000,Gord Ash,Doug Melvin
7/19/2000,63217,TOR,TEX,2000,Gord Ash,Doug Melvin
7/19/2000,63217,TEX,TOR,2000,Doug Melvin,Gord Ash
7/21/2000,63218,NYA,CHN,2000,Brian Cashman,Ed Lynch
7/21/2000,63218,NYA,CHN,2000,Brian Cashman,Ed Lynch
7/21/2000,63218,CHN,NYA,2000,Ed Lynch,Brian Cashman
7/25/2000,63219,TOR,MIL,2000,Gord Ash,Dean Taylor
7/25/2000,63219,MIL,TOR,2000,Dean Taylor,Gord Ash
7/26/2000,63220,PHI,ARI,2000,Ed Wade,Joe Garagiola Jr
7/26/2000,63220,ARI,PHI,2000,Joe Garagiola Jr,Ed Wade
7/26/2000,63220,ARI,PHI,2000,Joe Garagiola Jr,Ed Wade
7/26/2000,63220,ARI,PHI,2000,Joe Garagiola Jr,Ed Wade
7/26/2000,63220,ARI,PHI,2000,Joe Garagiola Jr,Ed Wade
7/26/2000,63221,MIA,CIN,2000,Dave Dombrowski,Jim Bowden
7/26/2000,63221,CIN,MIA,2000,Jim Bowden,Dave Dombrowski
7/26/2000,63222,LAN,CHN,2000,Kevin Malone,Ed Lynch
7/26/2000,63222,LAN,CHN,2000,Kevin Malone,Ed Lynch
7/26/2000,63222,LAN,CHN,2000,Kevin Malone,Ed Lynch
7/26/2000,63222,CHN,LAN,2000,Ed Lynch,Kevin Malone
7/26/2000,63223,PHI,TOR,2000,Ed Wade,Gord Ash
7/27/2000,63224,COL,BOS,2000,Dan O'Dowd,Dan Duquette
7/27/2000,63224,BOS,COL,2000,Dan Duquette,Dan O'Dowd
7/27/2000,63224,BOS,COL,2000,Dan Duquette,Dan O'Dowd
7/27/2000,63224,BOS,COL,2000,Dan Duquette,Dan O'Dowd
7/27/2000,63224,BOS,COL,2000,Dan Duquette,Dan O'Dowd
7/27/2000,63224,COL,BOS,2000,Dan O'Dowd,Dan Duquette
7/27/2000,63224,COL,BOS,2000,Dan O'Dowd,Dan Duquette
7/27/2000,63224,COL,BOS,2000,Dan O'Dowd,Dan Duquette
7/28/2000,63225,ANA,CHN,2000,Bill Stoneman,Ed Lynch
7/28/2000,63225,ANA,CHN,2000,Bill Stoneman,Ed Lynch
7/28/2000,63225,CHN,ANA,2000,Ed Lynch,Bill Stoneman
7/28/2000,63225,CHN,ANA,2000,Ed Lynch,Bill Stoneman
7/28/2000,63225,CHN,ANA,2000,Ed Lynch,Bill Stoneman
7/28/2000,63226,CLE,MIL,2000,John Hart,Dean Taylor
7/28/2000,63226,CLE,MIL,2000,John Hart,Dean Taylor
